,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
76,서울 용산,5.0,13.0,17.0,2.0,0.0044186072492990456,100.0,0.00847457627118644,0.005136309758988542,0.012996941896024464,0.013071895424836602,0.5221132750436531,0.2715762322639014,0.491280064689735,0.48709096980529987,1.9152931898090342
77,서울 은평,7.0,23.0,8.0,1.0,0.00932343707631715,100.0,0.011864406779661017,0.009087317265902806,0.0061162079510703364,0.006535947712418301,1.6559805777624068,0.5457541136436899,0.24146461256186963,0.22250731182040748,0.6038718167523556
78,서울 종로,8.0,31.0,38.0,5.0,0.002953436995855695,100.0,0.013559322033898305,0.012248123271434215,0.0290519877675841,0.032679738562091505,0.41805805279944674,0.18328399026232806,0.5956995311755248,0.4967239974049317,2.392012289450446
79,서울 중구,7.0,30.0,50.0,3.0,0.0024259031542413828,100.0,0.011864406779661017,0.011853022520742789,0.0382262996941896,0.0196078431372549,0.4100939019625031,0.1702523946798566,0.3165428277488157,0.88230950536304,2.438465910403698
80,서울 중랑,3.0,18.0,6.0,1.0,0.00778004362631548,100.0,0.005084745762711864,0.007111813512445673,0.0045871559633027525,0.006535947712418301,1.096506841141791,0.27884666051631607,0.3894219855113496,0.24487677844429157,0.9119870141062698
81,성남,18.0,51.0,40.0,10.0,0.018414423523887856,100.0,0.030508474576271188,0.020150138285262742,0.03058103975535168,0.06535947712418301,0.5280210541823758,0.26279871134298133,0.8045267922600406,0.26358854691640354,1.8938638754632027
82,세종,3.0,14.0,7.0,1.0,0.006061159309836775,88.86,0.005084745762711864,0.005531410509679968,0.005351681957186544,0.006535947712418301,0.8930423109945957,0.29190734451366496,0.4093195095320602,0.3120131478870453,1.1197677732494933
83,수원,16.0,58.0,26.0,8.0,0.02317687324054488,100.0,0.02711864406779661,0.022915843540102725,0.019877675840978593,0.05228758169934641,0.6933320729845759,0.28521592366560145,0.7479039285857719,0.19426577253135158,1.4423103141548255
84,순천,3.0,14.0,4.0,0.0,0.005390898042237786,90.03,0.005084745762711864,0.005531410509679968,0.0030581039755351682,0.0,3.4714831010721294,0.5919712658339512,0.0,0.28806131871739804,0.28806131871739804
85,시흥,8.0,26.0,5.0,0.0,0.008657555844637926,100.0,0.013559322033898305,0.010272619517977083,0.00382262996941896,0.0,6.2344359099706015,0.9619781505835022,0.0,0.16039943540051813,0.16039943540051813
86,아산,4.0,9.0,4.0,0.0,0.0060359982224386394,76.31,0.006779661016949152,0.0035559067562228367,0.0030581039755351682,0.0,3.37973066182724,1.025045360811974,0.0,0.29588156573972474,0.29588156573972474
87,안동,2.0,6.0,2.0,0.0,0.003129313768581169,74.7,0.003389830508474576,0.002370604504148558,0.0015290519877675841,0.0,3.76732449825553,0.8692638737544145,0.0,0.26544036768349866,0.26544036768349866
88,안산,7.0,34.0,9.0,0.0,0.012741524490604237,100.0,0.011864406779661017,0.013433425523508494,0.006880733944954129,0.0,3.676618294727302,0.5840461574637288,0.0,0.27198907252191945,0.27198907252191945
