,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
388,경기도,평택시,빽다방,평택소사벌1호점,127.1052118,37.00372572,경기도 평택시 평남로 929,평택,1,빽다방
389,경기도,수원시,빽다방,수원삼성전자정문점,127.0573969,37.25836132,경기도 수원시,수원,1,빽다방
390,충청북도,청주시,빽다방,청주성안롯데점,127.4894987,36.63591191,충청북도 청주시,청주,1,빽다방
391,경기도,용인시,빽다방,광교상현신명점,127.0697312,37.29766534,경기도 용인시,용인,1,빽다방
392,강원도,춘천시,빽다방,춘천명동점,127.7277455,37.8777305,강원도 춘천시 중앙로67번길 18,춘천,1,빽다방
393,충청북도,청주시,빽다방,오창호수공원점,127.4278632,36.71430682,충청북도 청주시,청주,1,빽다방
394,충청북도,청주시,빽다방,청주가경골드점,127.4425836,36.61646982,충청북도 청주시,청주,1,빽다방
395,경기도,화성시,빽다방화성삼성점,화성삼성점,127.0616502,37.22354973,경기도 화성시 효행로 1289,화성,1,빽다방
396,경기도,군포시,빽다방,금정역점,126.9424441,37.37182701,경기도 군포시 산본천로226번길 1,군포,1,빽다방
397,경기도,용인시,빽다방,용인죽전누리점,127.110355,37.32002732,경기도 용인시,용인,1,빽다방
398,경기도,광명시,빽다방,광명사거리역점,126.8534737,37.47950273,경기도 광명시 오리로 987,광명,1,빽다방
399,경기도,수원시,빽다방,수원장안CGV점,127.0080409,37.30313856,경기도 수원시,수원,1,빽다방
400,경기도,수원시,빽다방,아주대점,127.0441381,37.27719595,경기도 수원시,수원,1,빽다방
401,경기도,용인시,빽다방용인롯데시네마점,용인롯데시네마점,127.2066357,37.23566624,경기도 용인시,용인,1,빽다방
402,강원도,동해시,빽다방동해천곡점,동해천곡점,129.1152496,37.52225931,강원도 동해시 한섬로 111-7,동해,1,빽다방
403,경기도,수원시,빽다방,수원정자백설점,126.9941356,37.29614593,경기도 수원시,수원,1,빽다방
404,경기도,수원시,빽다방,-,127.0016577,37.2654826,경기도 수원시,수원,1,빽다방
405,경기도,시흥시,빽다방시흥월곶점,시흥월곶점,126.7386035,37.38853436,경기도 시흥시 월곶중앙로 59,시흥,1,빽다방
406,경기도,성남시,빽다방,야탑역대덕점,127.1298372,37.41217264,경기도 성남시,성남,1,빽다방
407,경기도,화성시,빽다방,화성수원대점,126.9776627,37.21397877,경기도 화성시 봉담읍 와우로 108,화성,1,빽다방
408,경기도,광주시,빽다방,광주태전점,127.2318006,37.39322652,경기도 광주시 고불로 56,광주,1,빽다방
409,경기도,화성시,빽다방,동탄남광장점,127.0731643,37.20160847,경기도 화성시 메타폴리스로 54,화성,1,빽다방
410,경기도,용인시,빽다방광교상현신명점,광교상현신명점,127.069872,37.29813501,경기도 용인시,용인,1,빽다방
411,경기도,성남시,빽다방,판교유스페이스점,127.1068775,37.40025142,경기도 성남시,성남,1,빽다방
412,경기도,의정부시,빽다방,의정부센트럴점,127.0440763,37.73796788,경기도 의정부시 시민로 80,의정부,1,빽다방
413,경기도,구리시,빽다방,구리인창늘푸른점,127.1427625,37.60485987,경기도 구리시 건원대로34번길 51,구리,1,빽다방
414,경기도,시흥시,빽다방시흥대야롯데점,시흥대야롯데점,126.7918875,37.44162192,경기도 시흥시 비둘기공원7길 51,시흥,1,빽다방
415,경기도,파주시,빽다방,파주교하중앙점,126.718283,37.72514473,경기도 파주시 청석로 262,파주,1,빽다방
416,경기도,시흥시,빽다방시흥거모점,시흥거모점,126.7853605,37.34405223,경기도 시흥시 군자로 517,시흥,1,빽다방
417,경기도,성남시,빽다방,성남가천대점,127.1271341,37.4484569,경기도 성남시,성남,1,빽다방
